performance_score,attendance_percent,projects_completed,skills_score,experience_years,leadership_score,promoted
10,92,13,4,7.8,7,1
4,60,14,6,5.1,8,1
1,86,11,10,0.9,10,0
3,87,1,6,2.1,6,0
6,59,6,4,0.7,10,0
9,98,8,7,8.9,10,1
6,86,6,4,1.9,10,0
10,50,4,9,2.4,8,1
7,98,2,4,8.0,6,0
4,90,11,3,2.7,2,0
3,65,0,3,5.1,10,0
2,67,3,2,8.8,7,0
9,74,10,3,6.8,10,1
3,69,9,5,7.5,2,0
3,72,1,7,1.8,6,0
9,78,0,6,8.0,6,0
2,76,5,2,4.8,8,0
7,72,13,3,4.2,10,1
4,83,15,4,8.5,2,0
3,85,12,10,6.7,4,1
7,50,15,10,7.3,7,1
6,59,1,4,3.0,4,0
8,55,1,6,9.9,7,0
3,90,2,4,4.2,5,0
1,55,5,7,1.3,10,0
10,75,3,10,8.3,1,1
5,95,0,10,5.1,9,0
8,78,15,7,0.3,3,0
5,100,9,9,0.4,7,0
9,100,8,1,9.0,4,1
6,54,13,8,7.2,3,1
5,58,0,10,8.9,10,0
8,52,12,4,4.4,8,1
6,60,15,9,8.1,8,1
8,100,8,1,4.7,8,1
6,61,3,2,0.6,9,0
3,80,8,3,0.8,1,0
6,98,7,9,9.8,5,1
10,90,9,10,8.8,10,1
5,75,5,6,3.6,6,0
8,58,7,6,4.8,4,0
8,51,12,5,3.4,1,0
5,66,9,1,8.3,6,0
7,56,14,4,7.1,4,1
3,59,5,5,8.8,10,0
1,53,13,4,5.1,3,0
9,69,1,10,1.0,6,0
2,52,0,10,1.3,4,0
10,96,6,7,9.8,6,1
1,67,14,7,0.6,6,0
10,84,4,9,5.7,6,1
2,65,8,2,5.6,10,0
1,68,13,1,7.9,4,0
5,97,6,3,6.1,4,0
1,100,9,5,1.1,8,0
1,81,2,8,4.7,5,0
4,67,2,5,4.7,2,0
5,50,4,9,3.9,10,0
7,89,10,8,6.6,4,1
5,51,4,5,3.1,2,0
2,92,9,7,7.4,2,0
5,64,5,8,9.5,4,0
3,99,10,1,5.4,6,0
10,53,6,5,0.5,9,0
4,77,5,9,9.6,5,0
2,95,2,2,1.0,1,0
4,68,15,9,6.4,6,1
3,56,12,9,8.2,3,0
8,92,8,8,5.0,7,1
5,51,5,5,6.7,4,0
3,77,4,10,0.7,5,0
10,80,4,5,4.6,5,1
9,69,3,1,4.0,8,0
9,85,5,9,8.6,8,1
7,54,12,6,3.6,8,1
4,87,7,10,10.0,5,0
10,94,3,9,3.1,5,1
10,86,15,3,5.7,5,1
2,53,11,1,4.3,5,0
4,71,4,3,0.6,4,0
1,69,4,7,4.3,1,0
8,73,15,9,1.2,10,0
6,74,2,8,5.1,10,0
10,92,15,10,5.0,3,1
5,53,14,5,0.7,1,0
9,57,15,10,2.0,6,0
6,83,12,3,5.3,2,0
3,89,2,2,5.8,10,0
2,78,1,1,2.4,9,0
2,81,6,3,9.7,10,0
10,99,11,8,4.0,8,1
6,50,9,9,8.1,4,0
9,92,0,10,0.4,1,0
9,65,9,4,6.9,2,0
2,96,14,3,8.6,1,0
5,86,0,1,6.4,1,0
5,98,14,9,6.6,7,1
2,63,15,5,7.0,6,0
3,64,0,5,5.4,4,0
4,59,15,6,1.4,2,0
3,56,5,1,6.3,2,0
2,96,7,7,2.5,1,0
5,65,4,5,5.8,2,0
8,86,8,3,9.1,2,0
9,71,3,4,5.3,1,0
6,61,14,8,8.0,4,1
7,83,5,4,5.7,7,0
5,89,3,8,9.5,4,0
7,51,7,8,7.8,8,1
3,84,8,2,7.6,10,0
2,54,15,2,9.7,1,0
9,96,6,3,8.2,1,0
7,62,6,5,1.7,6,0
7,86,10,1,2.1,2,0
4,99,5,5,0.0,6,0
9,60,12,9,6.3,3,1
4,63,7,7,6.5,9,0
6,79,12,6,0.6,8,0
10,76,13,3,8.6,10,1
5,64,8,8,1.1,1,0
8,75,11,8,5.4,4,1
6,86,10,4,6.3,9,1
8,79,13,6,7.2,5,1
8,56,3,2,2.6,3,0
6,99,3,9,8.5,2,0
4,70,15,9,6.3,6,1
4,76,3,6,2.7,6,0
10,70,1,10,3.4,3,1
10,71,10,9,0.3,7,0
1,91,13,6,2.4,6,0
10,72,11,7,0.8,9,0
4,65,1,8,6.5,5,0
7,72,15,8,4.0,3,1
6,83,5,8,8.4,10,1
2,76,1,6,8.0,2,0
6,79,10,9,4.0,7,1
3,65,12,9,4.4,1,0
3,100,14,3,3.0,4,0
6,82,15,5,0.5,8,0
9,61,11,5,5.4,8,1
4,98,6,8,7.6,5,0
2,90,5,3,2.7,7,0
10,92,3,7,0.8,1,0
3,76,0,8,3.4,10,0
6,89,5,2,3.8,1,0
9,64,9,3,7.6,3,0
2,68,8,3,0.7,7,0
4,66,10,10,1.7,7,0
6,60,12,1,5.6,4,0
2,56,7,2,1.8,8,0
6,93,3,9,8.1,1,0
5,89,1,5,6.5,1,0
8,50,15,7,8.5,10,1
2,77,5,5,4.5,10,0
6,93,5,8,2.2,7,1
8,70,3,2,0.5,1,0
1,60,13,9,5.0,1,0
1,57,12,4,6.4,4,0
7,90,8,2,3.9,1,0
5,99,14,5,8.7,3,1
6,76,12,10,6.9,6,1
1,61,0,5,6.6,3,0
8,77,15,4,3.0,8,1
4,53,14,1,0.7,4,0
7,70,7,3,5.4,6,0
9,58,2,6,2.9,7,0
1,93,5,9,1.4,6,0
10,74,1,4,1.3,4,0
7,71,3,1,7.1,4,0
5,89,3,7,6.6,8,0
2,61,2,2,8.6,5,0
9,76,0,3,3.4,10,0
