EmployeeID,Age,YearsAtCompany,Salary,OvertimeHours,JobSatisfaction,PerformanceScore,PromotionCount,CommuteTime,TrainingHours,PeerRating,ManagerRating,ProjectsCompleted,RemoteDaysPerWeek,WorkLifeBalance,Absences,Attrition
7690c285-3b49-45e4-8cfb-9ef4e36b5d5a,23,0,52209,15,4.01,1.18,0,63,57,2.57,1.43,13,1,3.15,6,0
f574836f-05b5-4cf3-b42f-d6fab9c2b24e,49,6,79874,40,3.6,2.73,1,53,19,4.5,3.5,21,5,3.79,19,0
c11745e7-bd88-4feb-9329-a83660799976,55,5,48012,4,3.1,2.58,1,97,81,4.88,3.98,21,3,1.35,13,0
df3e464a-adba-4a48-be34-3c5bf4417281,59,15,93834,31,4.32,4.92,0,22,1,3.86,1.98,14,2,1.37,2,0
82309bb4-6ffc-41a3-b4be-cd1372a248c9,38,9,67418,42,3.08,2.06,2,64,86,4.02,1.41,22,3,3.28,0,0
f38c8f4c-6c87-409a-85d6-2fea007d62f5,40,9,69631,15,3.07,4.26,2,83,43,3.07,3.04,19,1,3.4,5,0
48f86467-5f1b-4757-8305-dadc4036fe03,43,13,49636,21,2.43,3.86,0,32,11,1.77,1.33,12,4,3.36,23,0
e27093aa-ec3a-4ddb-ae9e-bc7e6aedaa40,54,19,37863,26,1.0,2.79,0,25,4,3.56,1.57,1,4,1.03,22,0
9d5c45f6-fc30-4eb3-bc8c-8e55ff1a6fda,53,10,86937,37,4.51,3.02,0,42,72,3.75,4.03,18,5,4.33,14,0
25e8528e-7f42-4b1a-b5d6-2be8b2e80915,30,3,57842,12,4.88,3.63,1,73,92,2.9,1.89,2,1,2.73,3,0
5c98a133-6476-4ba9-8588-017c3c5e38d1,53,16,67076,24,2.8,4.4,0,83,82,2.01,2.63,2,3,4.41,9,0
c414c220-3de6-427a-9ca2-2537172689b7,53,15,76879,8,3.2,3.52,0,39,3,1.62,2.86,7,2,3.79,16,0
5b9c1b86-f510-4ce7-953a-7a77e9ebd053,46,12,83169,3,1.03,2.48,0,59,21,1.24,1.16,9,2,3.05,0,0
d452e020-9277-4a59-8d26-797e394c1119,40,7,64628,22,4.24,1.59,0,52,19,4.97,1.06,17,1,1.12,20,0
c722a7f4-ae0a-404c-96e8-38bfb68b5c72,35,5,50069,20,1.7,2.15,0,77,81,2.71,1.93,14,0,1.13,17,0
1e10ca9e-04c9-44f2-b39d-3d771c1caf57,57,18,67493,4,2.53,1.54,1,62,39,2.6,2.79,16,2,2.09,6,0
0ea1d6bb-ecca-4168-9fc4-1ddd29f290fe,53,18,36192,19,2.29,1.49,0,53,2,3.3,3.86,16,4,3.06,11,0
869a0da1-cce8-4eb3-9001-9c3d53a43e6e,37,7,72700,41,3.76,3.1,0,75,64,3.66,4.57,2,1,4.81,9,0
3bb8ba93-c0bb-4d97-98e2-6cf3586f6fe9,25,1,75235,1,3.29,4.05,1,78,93,4.43,2.91,6,5,2.19,17,0
965242df-f3e3-4aaa-9184-2b1764d20237,24,0,69262,33,2.53,3.86,0,58,87,4.8,2.64,14,5,3.75,15,0
42f16563-119f-461e-b598-e681cf0f6696,23,1,55249,20,1.45,1.13,3,58,3,4.11,1.69,8,3,3.09,10,0
255caf3f-8d0d-4e63-8dcd-61fb8bfb81c0,41,11,44656,12,3.66,3.91,0,95,58,4.7,1.68,3,2,2.37,3,0
e6233942-75f3-4efe-9275-6b6412d308af,23,0,102766,31,1.7,3.3,2,91,49,1.18,3.5,15,4,4.66,7,1
c640c80f-7305-483f-9ce3-839b49a530f2,41,3,73737,12,2.54,4.9,1,43,92,3.22,2.07,18,3,3.06,6,0
5d4b7520-d4a8-4d60-ad3c-b67a42383ed7,28,1,77727,3,1.11,4.97,1,29,27,4.05,3.78,21,5,4.52,5,0
8c2c852c-594b-4e77-9660-7096942133c8,56,3,61846,21,2.3,4.05,1,29,1,1.14,1.84,19,4,3.12,2,0
c019b12d-b332-4c24-a20d-76355c250be2,49,8,58695,19,2.43,4.09,0,75,25,3.25,1.37,24,5,2.67,17,0
d05e7f5f-a849-4465-9e98-815dc73e6660,59,7,44383,35,4.23,1.26,0,65,21,4.34,3.73,6,0,3.76,0,0
5be8658e-4cdd-4d06-ba74-75283b9d4745,54,5,84490,31,2.4,2.46,2,45,61,2.69,3.44,1,1,1.33,1,0
2a80c336-3b0d-4d3a-8fe0-5fd3e82cf03e,42,9,77748,44,1.21,3.33,3,65,34,4.01,3.97,16,2,4.38,3,0
5884b5ce-2521-4984-977c-8b7d47850fa4,51,14,57025,17,4.01,4.92,2,67,99,4.5,3.64,1,2,1.08,22,0
b15af436-2e95-41fc-a3f4-5f9069591d49,48,12,97090,25,1.75,1.97,1,8,65,2.36,4.4,20,0,2.41,5,0
79b24fed-8696-4eee-a3f1-6299015e09f5,55,14,66370,30,4.89,4.49,0,19,0,3.71,3.83,18,4,4.12,6,0
9e73d4a8-fba9-47a3-a2ac-b157c6cbe2f2,54,11,74857,44,1.43,2.61,0,57,69,1.93,4.58,21,5,4.4,0,0
fa823f09-b6f3-4235-a614-8e82cfc351f7,33,1,89971,21,3.61,3.47,2,31,9,1.13,2.57,23,4,4.77,20,0
afde513f-73d0-45bf-9baa-3d6ab1eab65a,24,1,58552,28,3.52,4.36,1,24,46,3.55,4.76,13,0,2.66,14,0
aa960917-a7f3-4169-ab59-03965563be0e,26,2,50315,21,1.53,4.85,1,43,48,4.66,4.3,4,0,1.04,19,0
7d1a6dd0-5dfb-485b-a7e8-388c7752406e,21,0,37261,5,2.15,1.98,2,71,54,2.08,3.0,15,4,4.42,5,0
d9546029-6773-402e-be8e-2d570d942209,32,5,73492,15,4.36,1.98,2,91,74,1.43,4.91,17,1,1.17,2,0
c8c286c6-3e9d-4ee5-b65c-9e82b8a9edda,55,16,77393,40,3.07,4.77,1,29,15,4.7,4.55,24,3,4.78,5,0
05732d00-c073-44fe-adbe-1b3a3408466e,31,3,64296,42,4.95,2.81,0,48,77,1.2,3.79,12,2,4.09,9,0
37f5efc4-5e59-49a9-9b3c-78d4df48abcb,43,3,79650,43,2.07,3.44,0,50,10,1.28,4.5,21,1,2.33,7,1
9bb00d6a-62dc-4850-a44c-f05f3040d9cf,34,6,53269,44,3.8,1.44,1,35,33,4.59,1.55,3,1,4.59,5,0
03c2ca1f-ddb2-4389-9f7c-8c516b807933,39,7,75827,28,2.63,1.12,2,66,30,3.98,2.08,20,2,4.36,11,0
bbacecaf-f772-4ea9-8714-4192cc6a0fd7,57,5,70107,31,3.71,1.63,0,26,82,2.39,2.44,17,5,3.48,20,0
bc091841-3a8e-497a-a65e-96b70c93ea23,36,6,72126,14,2.18,2.94,0,56,95,1.28,3.53,23,4,3.04,7,0
592000f0-77da-447e-8c19-32fae4ca360a,48,5,30577,34,4.94,3.44,1,10,70,3.5,3.52,10,2,4.15,15,0
bcea8152-d318-4732-a6ae-a8ead8c1c684,51,11,86255,25,4.2,3.04,0,45,71,3.12,1.44,19,2,4.53,3,0
a336f450-c78c-412d-bd5e-06b0851daff3,27,1,44736,17,1.75,2.22,1,65,45,2.03,2.0,7,3,4.31,6,0
