performance_score,attendance_percent,late_days,projects_completed,complaints,fired
9,81,0,15,7,0
9,62,18,11,3,1
2,51,7,6,8,1
7,57,19,14,6,1
2,93,19,10,6,1
4,94,0,0,0,0
7,60,0,6,4,0
4,73,3,10,2,0
8,53,8,15,1,0
4,51,4,0,3,1
5,57,8,11,5,1
10,59,2,6,0,0
1,100,11,13,8,1
6,70,15,7,4,1
1,64,18,10,0,1
7,65,12,13,5,1
3,63,1,5,6,1
5,73,17,7,10,1
3,53,16,11,2,1
7,87,2,0,3,1
1,80,10,2,2,1
2,84,0,14,2,0
6,55,20,3,8,1
4,53,11,2,2,1
8,98,15,0,1,1
3,78,5,3,9,1
9,58,14,8,7,1
6,90,11,13,9,1
3,82,4,8,1,0
3,58,1,8,3,1
2,63,11,10,10,1
2,90,6,0,8,1
9,67,17,1,0,1
10,80,18,11,5,1
3,66,13,10,4,1
5,83,1,5,9,1
4,60,13,0,1,1
8,66,9,11,4,0
10,89,1,14,9,0
2,76,1,15,6,1
7,75,9,3,2,1
8,65,11,4,7,1
10,76,12,1,9,1
7,74,20,4,10,1
8,91,11,5,0,0
4,56,9,11,7,1
8,71,0,13,5,0
7,82,16,3,9,1
8,67,19,10,6,1
3,85,20,10,3,1
2,63,16,15,9,1
1,100,15,4,1,1
10,91,15,10,9,1
10,63,1,15,6,0
4,63,15,15,9,1
10,98,18,7,9,1
4,88,20,12,0,1
5,90,18,13,2,1
8,89,0,15,9,0
6,77,11,2,0,1
5,62,0,1,9,1
6,70,0,8,1,0
1,61,15,1,7,1
3,78,16,5,1,1
10,82,9,6,7,1
3,84,13,13,4,1
7,84,16,6,8,1
4,83,13,10,3,1
9,90,3,9,10,1
8,50,11,9,1,0
4,63,19,0,7,1
2,58,6,12,1,1
10,50,6,5,8,1
8,95,6,12,1,0
5,63,0,0,5,1
6,85,5,2,1,0
8,87,20,1,8,1
9,85,3,10,3,0
7,81,14,2,7,1
10,95,2,7,9,0
8,69,4,8,5,0
5,55,20,14,4,1
4,73,1,11,7,1
10,71,0,14,4,0
1,55,9,0,1,1
10,93,5,3,10,1
5,100,19,9,0,1
7,69,8,9,7,1
5,60,9,9,2,1
1,62,10,1,10,1
1,73,18,0,8,1
8,96,1,3,0,0
2,59,7,8,0,1
5,57,9,4,1,1
2,85,3,15,6,1
4,80,13,9,3,1
8,50,19,12,1,1
10,89,2,5,1,0
3,76,3,13,4,0
1,83,19,9,5,1
1,92,5,8,8,1
9,61,4,3,2,0
2,81,3,7,10,1
7,83,7,9,9,1
9,80,9,15,6,0
9,59,7,8,8,1
2,53,16,8,0,1
3,65,16,6,8,1
5,63,9,12,7,1
8,73,15,14,6,1
2,61,19,0,8,1
1,61,8,5,8,1
8,77,6,12,8,1
7,90,5,12,10,1
4,53,17,2,10,1
4,68,6,4,2,1
3,79,16,15,3,1
4,50,13,1,10,1
9,61,16,15,8,1
7,65,7,1,9,1
5,60,10,8,4,1
7,74,1,14,4,0
2,65,7,15,10,1
1,70,0,4,3,1
2,50,17,14,4,1
6,66,12,0,3,1
7,71,1,6,7,1
5,99,6,2,7,1
4,74,0,5,3,1
8,58,15,11,1,0
3,91,6,9,4,1
5,88,1,0,4,1
9,52,5,12,3,0
7,90,19,6,4,1
2,64,19,11,8,1
5,96,7,14,6,1
3,97,15,11,8,1
3,87,3,5,0,0
9,100,14,1,3,1
3,70,13,15,8,1
3,81,7,1,5,1
1,73,4,10,7,1
9,55,4,3,9,1
4,62,18,13,6,1
10,65,14,5,8,1
10,74,6,12,1,0
2,82,8,3,2,1
8,98,9,6,4,1
3,93,13,0,0,1
10,72,20,12,0,0
3,91,20,15,7,1
4,52,1,10,1,0
2,58,8,8,0,1
1,50,16,5,3,1
2,57,10,11,7,1
4,95,19,4,0,1
5,83,11,12,1,0
10,86,1,6,6,0
3,82,11,15,9,1
1,97,7,4,1,1
1,71,8,10,3,1
2,89,5,6,9,1
6,76,15,13,10,1
4,98,7,7,9,1
10,70,20,3,8,1
8,53,6,8,7,1
10,69,6,12,5,0
5,55,6,14,6,1
10,87,2,5,10,1
10,71,5,9,1,0
1,60,1,12,1,0
9,91,14,9,0,0
8,59,20,4,5,1
5,94,5,0,8,1
6,78,8,15,9,1
10,88,11,10,2,0
7,79,4,12,7,0
6,75,13,11,0,0
7,96,12,5,3,1
1,54,19,12,5,1
8,73,16,11,3,1
7,53,5,9,2,0
9,62,16,10,9,1
3,96,8,13,2,0
7,63,3,6,8,1
1,67,9,6,10,1
2,88,12,1,1,1
7,99,12,1,5,1
6,53,15,5,0,1
1,90,13,13,10,1
6,77,16,14,1,0
1,95,4,15,2,0
8,52,5,0,0,0
4,84,5,6,8,1
1,83,4,0,8,1
3,63,15,14,4,1
5,92,7,15,10,1
5,97,9,12,4,1
4,62,5,3,1,1
1,72,7,6,7,1
6,85,15,11,5,1
10,56,0,7,0,0
7,56,20,11,4,1
10,100,9,15,8,0
9,68,17,9,2,1
7,69,4,0,4,1
2,83,9,14,6,1
7,60,11,5,3,1
4,100,6,0,4,1
2,95,18,10,7,1
3,72,1,10,1,0
10,73,4,3,1,0
9,73,10,1,3,1
3,84,9,15,9,1
7,78,6,10,7,1
1,51,18,5,5,1
1,74,10,14,2,1
5,57,4,8,9,1
4,81,7,15,2,0
5,72,7,4,7,1
10,73,10,15,3,0
3,97,1,6,1,0
8,94,16,13,5,1
8,93,14,10,7,1
4,98,7,10,3,1
5,52,9,5,0,1
1,88,14,1,4,1
4,94,10,10,2,1
10,56,1,14,5,0
7,55,6,10,1,0
2,50,20,1,4,1
10,61,0,12,2,0
10,82,11,10,8,1
9,90,5,10,7,0
9,88,0,11,8,0
3,100,4,12,9,1
9,58,4,6,6,1
7,74,15,11,3,1
4,54,3,13,0,0
6,90,17,13,1,0
10,82,14,12,5,0
3,75,15,0,10,1
9,87,9,7,4,0
10,91,8,10,0,0
10,74,13,14,10,1
6,95,1,8,10,1
8,54,19,11,0,1
4,66,1,3,4,1
9,66,16,7,8,1
7,51,19,10,9,1
