performance_score,attendance_percent,projects_completed,skills_score,experience_years,performance_label
8,82,15,8,3.7,2
2,100,1,8,1.2,1
1,83,3,4,6.8,0
5,57,13,6,1.4,1
6,54,1,7,4.1,1
6,76,1,5,5.8,1
3,100,14,6,8.5,2
4,67,8,7,1.2,1
2,92,5,9,2.7,1
2,100,2,9,0.2,1
1,73,13,2,1.2,1
10,56,8,3,0.2,2
2,85,5,4,2.5,1
4,72,1,7,8.7,1
6,97,1,9,9.6,1
7,75,2,1,8.5,1
4,84,4,3,7.6,1
8,89,14,10,4.5,2
8,51,13,1,3.6,2
8,88,6,8,4.4,2
6,66,7,10,7.7,2
2,58,10,9,6.1,1
10,98,11,6,7.8,2
10,51,7,9,9.8,2
10,61,4,2,2.0,1
9,51,15,6,1.1,2
7,53,14,10,4.7,2
8,70,13,8,8.0,2
3,69,5,9,7.4,1
10,77,11,9,9.4,2
1,77,5,4,9.2,0
4,56,8,3,3.1,1
8,63,0,2,8.2,1
2,57,5,5,2.1,0
2,86,8,6,5.5,1
5,79,4,2,9.9,1
7,50,7,6,2.0,1
3,91,5,1,9.1,1
4,67,6,5,3.2,1
3,62,9,5,8.5,1
8,67,1,4,6.4,1
9,77,8,10,8.2,2
4,64,13,7,7.5,1
9,93,15,2,8.8,2
4,79,0,8,2.6,1
1,68,11,5,8.3,1
4,78,9,10,5.7,1
8,87,13,2,7.5,2
1,55,3,10,8.3,1
6,59,2,9,8.9,1
5,52,12,4,4.9,1
3,73,10,7,7.9,1
6,75,15,10,6.6,2
2,86,0,7,0.9,0
1,55,0,7,8.6,0
7,54,8,2,9.8,1
10,75,4,10,6.8,2
10,83,4,1,0.3,1
2,90,9,3,0.3,1
6,69,13,4,3.8,2
1,85,7,9,0.1,1
5,89,12,8,7.5,2
1,93,12,5,9.8,1
3,81,2,6,9.3,1
4,97,4,6,7.7,1
3,68,9,10,0.9,1
4,90,9,8,8.3,1
2,80,13,7,6.7,1
4,61,14,4,5.9,1
10,62,0,2,7.4,1
8,82,6,4,9.9,1
2,60,15,4,0.4,1
6,70,4,5,1.3,1
6,94,11,8,1.9,2
3,69,12,3,9.2,1
6,78,0,8,5.7,1
9,50,8,2,5.3,1
7,75,4,9,7.2,1
2,77,5,8,3.9,1
8,100,4,8,0.7,2
7,91,13,2,5.4,2
7,86,2,4,9.7,1
1,70,12,2,3.1,1
2,61,8,9,2.6,1
10,74,11,3,1.0,2
9,75,11,3,9.7,2
10,82,13,5,1.5,2
5,91,0,10,1.8,1
7,84,3,5,7.1,1
4,51,5,3,7.6,1
3,60,10,5,8.2,1
4,73,2,4,2.6,1
2,97,1,10,2.3,1
9,54,5,4,1.4,1
3,78,8,1,7.0,1
5,80,10,1,3.5,1
2,63,5,9,5.3,1
2,93,7,3,0.9,1
10,97,0,10,5.5,2
4,50,10,8,8.6,1
6,83,7,9,9.0,2
4,87,2,5,7.5,1
3,87,2,2,5.7,0
10,72,10,6,2.4,2
5,75,9,7,6.3,1
1,64,2,7,8.9,0
10,59,14,3,7.1,2
4,59,3,9,1.2,1
6,92,12,8,1.7,2
10,76,5,5,4.4,2
1,80,2,7,7.8,0
3,51,7,4,4.7,1
10,54,6,5,9.3,2
8,71,11,2,3.9,2
1,83,14,10,1.0,1
7,53,12,5,5.5,2
4,70,7,4,5.5,1
6,81,13,9,5.4,2
3,72,0,2,4.7,0
8,56,12,5,4.5,2
9,69,14,1,0.2,2
1,52,13,2,9.6,1
3,50,11,1,1.6,1
10,87,12,8,6.8,2
6,65,13,8,1.9,2
8,79,11,5,7.1,2
8,82,1,5,8.6,1
5,86,5,4,9.0,1
5,78,2,4,9.9,1
10,59,8,9,8.6,2
6,80,10,10,8.2,2
1,61,13,8,6.2,1
9,69,8,5,7.7,2
2,72,5,5,1.6,1
6,51,6,4,6.4,1
3,100,4,5,7.2,1
3,51,6,3,9.9,1
5,71,13,10,0.3,2
1,72,12,2,5.0,1
3,51,1,4,3.1,0
9,61,5,8,9.3,2
3,63,5,5,0.8,1
2,72,0,8,0.2,0
7,93,12,5,5.3,2
6,55,2,10,1.2,1
10,84,12,8,8.8,2
3,98,0,3,9.0,0
6,74,15,1,8.4,2
7,92,7,6,4.2,2
10,89,9,4,7.4,2
9,80,14,6,7.4,2
4,99,7,4,7.2,1
9,85,7,3,4.8,2
9,73,12,7,7.4,2
4,53,9,5,2.7,1
8,66,4,10,1.2,2
1,71,1,10,3.3,1
7,79,0,5,3.3,1
9,89,8,8,9.8,2
6,85,9,4,6.6,1
2,89,10,1,7.2,1
3,81,13,1,9.7,1
6,56,5,9,8.0,1
5,85,1,9,2.1,1
2,77,7,7,8.5,1
10,75,9,6,5.2,2
4,91,5,7,9.4,1
10,56,6,1,2.2,1
5,64,9,10,5.5,2
9,89,6,1,6.1,1
2,68,12,10,1.8,1
9,63,13,6,5.2,2
10,78,0,7,6.5,1
10,94,2,2,0.4,1
8,93,5,10,2.1,2
2,60,0,1,4.7,0
9,51,13,1,6.1,2
4,92,15,9,2.5,2
4,51,5,7,8.0,1
7,87,6,2,6.6,1
10,91,10,3,0.3,2
3,56,1,1,3.4,0
8,66,9,6,4.5,2
1,78,7,6,2.2,1
4,75,8,5,1.2,1
8,78,8,2,9.1,1
2,62,6,5,0.7,1
3,51,1,6,5.2,0
4,62,11,3,2.5,1
10,65,15,3,8.4,2
4,74,3,7,4.0,1
8,68,8,3,4.0,1
6,55,6,10,9.7,1
2,61,7,5,3.8,1
8,96,4,3,7.1,1
7,83,12,9,9.9,2
6,90,4,5,6.6,1
4,53,15,8,4.5,2
8,74,13,9,5.3,2
5,66,12,10,3.4,2
5,89,1,3,0.8,1
9,81,7,8,8.7,2
8,80,15,1,3.4,2
10,75,12,4,5.5,2
9,51,9,8,2.7,2
3,99,6,10,7.2,1
9,82,15,3,4.6,2
4,75,4,1,0.1,1
10,91,6,1,6.1,2
2,98,15,3,1.7,1
5,88,15,8,5.9,2
7,89,0,9,4.8,1
8,81,2,1,2.1,1
2,60,0,10,2.2,1
7,50,0,4,9.5,1
5,87,12,10,5.7,2
9,97,13,9,2.2,2
3,58,10,9,0.1,1
2,84,3,4,4.6,0
8,67,10,10,3.9,2
8,70,12,5,5.0,2
10,52,12,3,9.3,2
1,58,0,4,2.6,0
8,83,13,4,8.2,2
1,71,1,2,4.5,0
10,67,6,1,2.9,1
