avg_time,deadlines_met,tasks_completed,productive
7.12,0,28,0
4.2,3,9,0
7.89,10,28,1
9.14,1,23,0
5.38,0,7,0
3.75,8,24,1
2.21,3,27,1
7.2,8,18,0
3.76,9,13,0
8.48,0,29,0
8.45,6,15,0
4.22,3,29,1
4.69,1,17,0
2.77,5,24,1
4.12,0,28,0
5.68,1,17,0
2.63,4,25,1
6.95,5,23,0
3.54,1,6,0
7.29,4,7,0
8.84,1,17,0
4.22,10,16,1
3.3,5,11,0
7.36,10,25,1
2.57,10,10,0
6.27,3,10,0
5.7,4,25,0
7.51,3,26,0
4.59,0,12,0
8.57,5,17,0
4.14,3,23,0
9.01,5,11,0
7.24,6,25,0
5.67,4,9,0
3.97,8,22,1
4.1,9,18,1
9.18,6,16,0
3.75,2,21,0
5.95,0,8,0
3.22,2,30,1
7.44,9,7,0
5.08,9,19,1
6.23,8,5,0
7.44,1,26,0
9.08,4,29,0
7.13,1,14,0
5.48,7,5,0
9.63,4,21,0
8.1,8,8,0
8.96,4,25,0
6.06,3,9,0
4.99,2,22,0
9.63,8,5,0
6.79,7,5,0
2.89,5,30,1
4.46,0,12,0
9.02,1,7,0
7.86,1,29,0
6.26,2,9,0
7.28,8,10,0
4.12,9,18,1
9.71,8,29,1
7.84,3,27,0
4.49,10,25,1
4.99,8,19,1
2.97,3,7,0
4.7,9,22,1
3.84,3,5,0
2.57,10,6,0
3.83,0,15,0
2.57,3,13,0
7.35,3,22,0
3.06,9,23,1
5.78,7,30,1
5.26,1,8,0
7.27,5,18,0
5.29,0,26,0
7.23,10,8,0
2.48,5,30,1
8.89,3,11,0
3.52,7,9,0
5.38,4,19,0
4.0,1,19,0
8.46,8,8,0
2.4,8,5,0
9.75,3,10,0
5.25,7,11,0
8.92,0,10,0
5.03,6,13,0
9.41,7,14,0
5.38,8,26,1
7.75,2,11,0
4.37,0,23,0
7.89,0,28,0
4.51,0,23,0
5.81,8,10,0
2.46,8,7,0
8.81,1,24,0
2.54,3,17,0
2.96,9,12,0
6.63,0,24,0
2.66,10,23,1
6.52,5,13,0
3.63,5,12,0
4.12,2,26,0
7.16,7,15,0
9.43,1,5,0
5.67,9,8,0
2.59,3,21,0
4.12,5,7,0
9.03,5,14,0
3.26,8,27,1
4.42,10,21,1
2.06,8,14,1
9.45,1,9,0
4.12,1,28,0
6.43,4,14,0
6.84,5,11,0
7.5,4,21,0
5.91,0,7,0
7.07,4,6,0
2.03,2,25,0
9.84,2,28,0
5.53,6,22,0
2.08,1,27,0
9.23,8,6,0
8.68,9,22,0
3.18,2,6,0
4.47,0,16,0
3.68,3,26,0
2.82,8,18,1
9.79,2,12,0
8.92,2,18,0
2.2,5,30,1
9.45,10,28,1
8.49,4,10,0
8.3,1,17,0
8.98,7,12,0
3.6,7,16,0
4.44,3,12,0
2.19,3,17,0
4.63,1,29,0
4.23,10,21,1
5.2,8,15,0
9.51,1,13,0
3.43,4,6,0
2.87,6,16,0
7.83,5,18,0
6.85,8,8,0
5.08,9,11,0
4.04,6,5,0
6.16,8,26,1
7.76,10,11,0
4.91,1,26,0
9.37,9,15,0
7.31,1,28,0
9.2,8,14,0
7.34,5,17,0
7.58,8,9,0
3.53,10,17,1
7.42,2,24,0
6.55,6,22,0
8.67,4,14,0
3.68,9,24,1
7.24,7,19,0
5.54,3,21,0
5.79,2,26,0
2.68,8,26,1
7.06,5,7,0
8.55,3,26,0
4.48,3,9,0
2.2,3,20,0
6.89,1,19,0
5.32,10,23,1
3.56,6,20,0
5.2,2,25,0
7.5,1,29,0
5.4,2,30,0
9.66,8,19,0
2.4,3,8,0
5.65,7,26,1
6.25,8,24,1
4.54,7,24,1
8.52,8,18,0
8.64,8,19,0
9.18,7,19,0
4.07,3,25,0
4.22,8,20,1
7.01,4,19,0
2.62,4,12,0
4.17,5,22,0
2.64,2,12,0
5.06,2,27,0
3.71,6,18,0
4.65,7,18,0
2.5,6,17,0
9.24,9,27,1
2.16,9,17,1
5.82,5,14,0
8.03,6,22,0
7.98,8,30,1
6.83,3,20,0
3.76,6,20,0
2.23,5,26,1
7.43,6,28,1
3.32,7,9,0
9.85,8,5,0
9.26,9,23,0
7.3,1,25,0
5.43,7,10,0
2.4,6,15,0
3.69,5,15,0
8.09,6,13,0
8.02,6,13,0
8.68,7,5,0
7.99,0,16,0
3.79,1,29,0
9.66,0,29,0
2.25,3,11,0
8.71,9,9,0
3.91,7,26,1
2.92,3,19,0
7.6,5,10,0
6.85,1,29,0
8.55,4,8,0
6.63,4,23,0
7.42,6,17,0
9.53,3,7,0
6.74,10,12,0
2.82,4,26,1
6.8,1,30,0
9.87,0,16,0
6.26,10,16,0
2.55,10,15,1
2.1,6,20,1
2.84,5,25,1
9.13,7,27,0
3.22,2,28,1
6.17,10,13,0
6.93,8,29,1
5.87,6,28,1
6.74,5,12,0
8.65,1,13,0
9.05,3,29,0
5.72,9,26,1
5.03,0,20,0
8.81,2,20,0
3.7,4,15,0
4.24,9,27,1
9.04,8,5,0
